id,name,periodstart
gizeh,GIZEH,2022
fynn,Fynn Kliemann,
agantty,Agantty GmbH,2015
fkvv,FKVV GmbH,2020
floss,Floss weg hier 111 GmbH,2020
oderso,O.D.E.R.S.O. Gmbh,2020
texas,T.E.X.A.S. Holding GmbH,2020
twofingers,twoFingers Records GmbH,2018
kliemannsland,Kliemannsland GmbH,2015
herrlich,Herrlich Media GmbH,2011
ldgg,LDGG Immobilien GmbH,2020
bottmann,Florian Bottman,2011
ohrtmann,Bastian Orthmann,2022
tietjen,Niklas Tietjen,2018
